TAID,Class,BCUTi-1l,BCUTZ-1l,BCUTi-1h,BCUTv-1l,BCUTdv-1h,BCUTse-1l,PEOE_VSA1,BCUTd-1h,SIC0,BCUTZ-1h,SMR_VSA6,BCUTs-1h,SlogP_VSA2,BCUTdv-1l,GATS2dv
TOX-4430,0,11.25517911080739,5.993968191357748,13.623170889192613,14.708166100233274,5.003022715797302,2.732864045485685,5.106527394840706,1.11,0.4841962570206112,8.006031808642252,7.109797541277533,6.003022715797302,12.21632493611824,0.996977284,1.3571428571428572
TOX-3990,0,11.139224784222346,5.873346222593406,14.537870149415898,14.70271181065264,6.021893348382919,2.600952130521925,5.733667477162185,3.0336137565055328,0.5229596049593027,8.022039208220914,0.0,7.008271053529297,5.907179729351506,0.9959585122704482,0.9779005524861878
TOX-4318,0,11.108674947307652,5.847795618082922,13.624503408191936,14.70716833298662,5.006688190537471,2.58959583141702,10.213054789681411,3.0218528948780845,0.3606812278304233,8.007477244263853,6.606881964512918,6.003750523834469,22.92390314194263,0.9939412940900434,1.1375
TOX-4839,0,11.07385160520314,5.812360411845042,13.637583701350644,14.70223754864841,6.021896325580395,2.5496634689829825,25.532636974203527,3.173995243,0.3271564379782973,8.022785857880345,13.213763929025836,7.008271249244748,62.84154501,1.9858866999863007,0.9783348457350272
TOX-3073,0,11.232454707180604,5.99560295682892,12.9984752928194,20.55402935148892,4.014965119483298,2.6849683852453063,0.0,4.0160633859300825,0.3109175070825711,17.00739704317108,0.0,1.524804330190645,3.2517177575741014,0.7658126582944783,0.0
TOX-42716,0,10.435347369867133,5.691970832914679,14.542891000268323,14.701777301274138,6.024459954060972,2.4197363680736963,67.01563976042604,3.3167012121390056,0.3143680856762353,53.00226916263687,30.89501311971569,7.010478922189546,137.87998015015103,0.1514629650082571,0.8474286490652408
TOX-4845,0,11.083159701653264,5.822090482815189,13.62794805028016,14.707143052086348,5.010294906934725,2.562649533647699,25.532636974203527,3.152447362532062,0.3248341470173868,8.011038593669555,13.213763929025836,6.006924280707268,57.05830006647426,1.9853508250345175,1.0618497109826597
TOX-3923,0,10.435345500771035,5.68753237,14.542622069587338,14.701777558668796,6.024445476003436,2.416422907942453,41.48300278622252,3.321114566614176,0.3375575402123673,53.00226863228568,31.74431646205801,7.010460041178675,87.86935206635395,0.1514629650062628,0.8111686730832117
TOX-5777,0,10.338126506256907,5.896188031,13.62428454541429,14.707202811793785,5.005113022137828,2.609478423497155,10.213054789681411,2.1771911690726147,0.3780223226998912,16.002000879395855,24.719471142519414,6.003741284834855,34.932525932200825,0.6517796963290664,1.0532637901058952
TOX-73422,0,10.31162707039433,5.735960969224854,14.543874026154375,14.699772941714762,6.025752670915684,2.480586752802428,20.429753124538223,4.023078533767032,0.3530302654064515,16.00488771679456,0.0,7.011557218111427,61.070511479620805,0.6474306040564093,0.7025035290838924
TOX-2339,0,10.435347366031468,5.692033804114984,14.541457176014774,14.700469549406543,6.024435167015037,2.4198146261891385,15.740104602853368,3.315867590075598,0.4226496037690924,53.00226791030084,10.633577208012662,7.010455152,22.890192141495568,0.1514629650083126,0.729310913
TOX-1888,0,11.04306136316968,5.782177211077403,14.540276945534444,14.702347871547088,6.0219266627263766,2.5251863284682825,20.63637078852845,4.022948186331266,0.2957081453414226,8.022420349956471,19.75852033493841,7.008270707354358,47.08924863656033,0.9929228553442028,0.9926457117433066
TOX-1744,0,11.079344706391032,5.818423336042925,14.537801717708502,14.701443232858344,6.021996693544448,2.561557338846319,10.84019487200289,3.037389387410206,0.3311877860894119,8.02862887074235,6.544756405912575,7.008289775379534,17.62058908870513,1.8262680735451384,0.681594385082757
TOX-3486,0,10.95437040566877,5.693134817767543,14.53781859256497,14.701442940841732,6.022031653582999,2.4375503129932605,10.84019487200289,3.1346018848189705,0.4056003685510744,8.028633170163792,5.733667477162185,7.008290321890196,11.075832682792557,2.81142647645126,0.7413969335604772
TOX-5595,0,11.108845160332516,5.847989093551333,13.627790269121371,14.706019264095849,6.004921432485341,2.5899098249046952,9.843390348640757,3.021902200250164,0.3246987351738496,8.011400464693095,13.716679505790452,6.002597917371249,24.927173288379457,0.993722731,1.552259399793032
